ID,Reference,Title,Year
C110,"(Xia & Xu, 2022).",overcoming catastrophic forgetting in lane detection,2022
C111,"(Ho & Yang, 2023).",parallel shortened spatial attention module for effective and precision lane detection,2023
C112,"(Mengyu, Chu & Cho, 2022).",perspective transformer and mobilenets-based 3d lane detection from single 2d image,2022
C113,"(Zhao, Xiang et al., 2022).",point instance segmentation considering feature enhancement for lane detection,2022
C114,"(Chae et al., 2023).",point2lane: polyline-based reconstruction with principal points for lane detection,2023
C115,"(Chen, Liu & Lian, 2019).",pointlanenet: efficient end-to-end cnns for accurate real-time lane detection,2019
C116,"(Yang, Tian et al., 2024).",polylanenet plus plus : enhancing the polynomial regression lane detection based on spatio-temporal fusion,2024
C117,"(Wang, Wang & Zhang, 2020).",polynomial regression network for variable-number lane detection,2020
C118,"(Qiu, Gao, Hua, Huang & He, 2023).",priorlane: a prior knowledge enhanced lane detection approach based on transformer,2023
C119,"(Zhang, Yan & Wang, 2020).",quality-guided lane detection by deeply modeling sophisticated traffic context,2020
C120,"(Lam, Du & Pham, 2023).",quantlanenet: a 640-fps and 34-gops/w fpga-based cnn accelerator for lane detection,2023
C121,"(Chen & Luo, 2021).",real-time lane detection based on a light-weight model in the wild,2021
C122,"(Baek et al., 2022).",real-time lane detection based on deep learning,2022
C123,"(Wenfei Ding, Sun & Ma, 2022).",research on curve lane detection method based on deep learning,2022
C124,"(Yan, 2022).",research on lane detection method based on deep learning,2022
C125,"(Yang, 2019).",research on lane recognition algorithm based on deep learning,2019
C126,"(Singal et al., 2023).",roadway: lane detection for autonomous driving vehicles via deep learning,2023
C127,"(Lee, Lee, Lee et al., 2022).",robust lane detection via expanded self attention,2022
C128,"(Chng, Lew & Lee, 2021).",roneld: robust neural network output enhancement for active lane detection,2021
C129,"(Paek, Wijaya & Kong, 2022).",row-wise lidar lane detection network with lane correlation refinement,2022
C130,"(Almeida, Santos & Louren¸co, 2020).",scalable ros-based architecture to merge multi-source lane detection algorithms,2020
C131,"(Chen, Du, et al., 2019).",self-supervised homography prediction cnn for accurate lane marking fitting,2019
C132,"(Lin, Pintea & Gemert, 2021).",semi-supervised lane detection with deep hough transform,2021
C133,"(Yu, Wu, Suo & Su, 2023).",shallow detail and semantic segmentation combined bilateral network model for lane detection,2023
C134,"(Zhang, Gu, Wang, Wang & Pan, 2021).",sololanenet: instance segmentation-based lane detection method using locations,2021
C135,"(Huang, Chen, Chen, Jian & Zheng, 2018).",spatial-temproal based lane detection using deep learning,2018
C136,"(Wang, Guo, Lin, Cheng & Wu, 2022).",spatio-temporal fusion-based monocular 3d lane detection,2022
C137,"(Fan, Wang, Hou, Liu & Mu, 2019).",spinnet: spinning convolutional network for lane boundary detection,2019
C138,"(Zhang, Du, Shi et al., 2023).",st-mae: robust lane detection in continuous multi-frame driving scenes based on a deep hybrid network,2023
C139,"(Xiao, Zhuo, Ji & Li, 2021).",structure-prior deep neural network for lane detection,2021
C140,"(Lu, Cui, Xu, Peng & Wang, 2021).",super: a novel lane detection system,2021
C141,"(Jayasinghe et al., 2021).",swiftlane: towards fast and efficient lane detection,2021
C142,"(Garnett, Uziel, Efrat & Levi, 2020).",synthetic-to-real domain adaptation for lane detection,2020
C143,"(Zhang, Deng & Yan, 2022).",tarconvgru: a cross-dimension spatiotemporal model for lane detection,2022
C144,"(Wang, Zhao, Tian, Zhang & Gao, 2022).",the improved deeplabv3plus based fast lane detection method,2022
C145,"(Neven, De Brabandere, Georgoulis, Proesmans & Van Gool, 2018).",towards end-to-end lane detection: an instance segmentation approach,2018
C146,"(Dai, Li, Wang, Li & Liu, 2022).",towards extreme learning machine framework for lane detection on unmanned mobile robot,2022
C147,"(Nugraha & Su, 2017).",towards self-driving car using convolutional neural network and road lane detector,2017
C148,"(Guo, Xie & Yang, 2022).",twin non-local attention network with frame-similarity loss for video instance lane detection,2022
C149,"(Che, Nguyen, Pham & Lam, 2023).",twinlitenet: an efficient and lightweight model for driveable area and lane segmentation in self-driving cars,2023
C150,"(Wang, Jiang et al., 2023).",two-stage lane detection based on attention mechanism and post-processing of prediction,2023
C151,take from latex,validation of machine learning-based lane lines detection methods using different datasets,2023
C152,"(Zhang, Zhu et al., 2021).",vil-100: a new dataset and a baseline model for video instance lane detection,2021
C153,"(Ai, Ding, Zhao & Zhong, 2023).",ws-3d-lane: weakly supervised 3d lane detection with 2d lane labels,2023
C154,"(Chai, Wang & Zhang, 2024).",a fast and accurate lane detection method based on row anchor and transformer structure,2024
C155,"(Zoljodi, Abadijou, Alibeigi & Daneshtalab, 2024).",contrastive learning for lane detection via cross-similarity,2024
C156,"(Yang & Ho, 2024).",csa-lanenet: a contiguous spatial attention lane detection network with vision transformer modules,2024
C157,"(Fan, Wang, Chen & Peng, 2024).",ctfnet: coarse-to-fine segmented lane line detection in complex road conditions,2024
C158,"(Jaiswal & Mohan, 2024).",deep learning-based path tracking control using lane detection and traffic sign detection for autonomous driving,2024
C159,"(Santhiya, Jebadurai, Paulraj, Jenefa & Kiruba, 2024).",deep vision: lane detection in its: a deep learning segmentation perspective,2024
C160,"(Maddiralla & Subramanian, 2024).",effective lane detection on complex roads with convolutional attention mechanism in autonomous vehicles,2024
C161,"(Li, Ma, Han, Mu & Jiang, 2024).",enhanced scnn-based hybrid spatial-temporal lane detection model for intelligent transportation systems,2024
C162,"(Zhou & Zhang, 2024).",ff-hpinet: a flipped feature and hierarchical position information extraction network for lane detection,2024
C163,"(Zakaria, Shapiai, Abd Ghani, Wahid & Lai, 2024).",fully convolutional network model applied attention mechanism on kitti lane dataset for lane detection,2024
C164,"(Zhao, Qiu, Hu & Sun, 2024).",hwlane: hw-transformer for lane detection,2024
C165,"(Jhong, Chen, Hsia & Lai, 2024).",ivehicles: spatial feature aggregation network for lane detection assistance system,2024
C166,"(Liu, Wang & Li, 2024).",lane detection based on real-time semantic segmentation for end-to-end autonomous driving under low-light conditions,2024
C167,"(Shi, Zhao, Wang & Tang, 2024).",lane detection by variational auto-encoder with normalizing flow for autonomous driving,2024
C168,"(Lin, 2024).",lane detection for autonomous driving based on fastscnn,2024
C169,"(Lin & Chang, 2024).",lane detection networks based on deep neural networks and temporal information,2024
C170,"(Yang, Gu, Hu, Li & Nian, 2024).",lane detection via sparse instance activation,2024
C171,"(Pahk et al., 2024).",lane segmentation data augmentation for heavy rain sensor blockage using realistically translated raindrop images and carla simulator,2024
C172,"(Pittner, Janai & Condurache, 2024).",lanecpp: continuous 3d lane detection using physical priors,2024
C173,"(Liu, Zhu, Wan & Wang, 2024).",masked frequency-color fusion network for video instance-level hazy lane detection,2024
C174,"(Lin, Ye, Chen & Tang, 2024).",multi-dimensional search with strip convolution and r-squared loss for lane detection,2024
C175,"(Kim & Choi, 2024).",polylanedet: lane detection with free-form polyline,2024
C176,"(Zhang, Wang, Deng & Lei, 2024).",position encoding for 3d lane detection via perspective transformer,2024
C177,"(Santhiya, Jebadurai, Paulraj, Ebenezer, 2024).",precision in motion enhancing autonomous driving with advanced lane recognition using high resolution network,2024
C178,"(Feng, Yang, Chen, Li & Kang, 2024).",pseudo-multimodal lane segmentation method based on inaccurate depth information for intelligent vehicles,2024
C179,"(Huang, Wang et al., 2024).",recurrent cross attention mechanism for improved robustness and real-time performance in lane detection,2024
C180,"(Yao, Wang et al., 2024).",semi-supervised domain adaptation with dual-adversarial learning for lane detection,2024
C181,"(Tan, Zhang & Zhu, 2024).",smfrnet: complex scene lane detection with start point-guided multi-dimensional feature refinement,2024
C182,"(Du, Zhang, Shi et al., 2024).",st-lanenet: lane line detection method based on swin transformer and lanenet,2024
C183,"(Almeida, Ribeiro & Conceicao, 2024).",transfer learning-based lane line detection system for visual path following control,2024
C184,"(Faizi & Al-sulaifanie, 2024).",vision based multi-stages lane detection algorithm,2024
C185,"(Gu, Huang & Du, 2024).",Lane Detection Based on ECBAM_ASPP Model,2024
